timestamp,open,high,low,close,adjusted close,volume,dividend amount
2011-12-16,117.9100,122.6200,117.1600,122.3200,80.7906,40638663,0.0000
2011-12-09,117.0000,119.3300,116.6300,116.7100,77.0853,41603111,0.0000
2011-12-02,118.6300,121.1500,115.8000,118.6400,78.3600,45832153,0.2898
2011-11-25,120.3800,123.0500,119.8500,120.8000,79.5895,29652991,0.0000
2011-11-18,116.3900,120.1600,116.2100,119.3400,78.6276,41010352,0.0000
2011-11-11,116.6400,119.1300,115.2100,115.6500,76.1964,43951710,0.0000
2011-11-04,113.6100,119.4900,113.4600,116.4800,76.7433,68792278,0.2995
2011-10-28,113.9300,116.3500,109.8200,111.4600,73.2522,60484400,0.0000
2011-10-21,114.3000,116.8200,113.1300,113.1300,74.3497,46526467,0.0000
2011-10-14,116.8200,117.3600,113.4800,113.9500,74.8886,44795302,0.0000
2011-10-07,121.8800,125.0300,116.8500,118.2400,77.7081,68702999,0.3059
2011-09-30,120.1200,120.9100,115.7600,120.8000,79.1948,67230240,0.0000
2011-09-23,114.2000,123.8700,114.0500,120.8300,79.2145,78295990,0.0000
2011-09-16,113.5700,114.2500,111.2500,112.2400,73.5830,47769646,0.0000
2011-09-09,114.4200,114.9300,111.3100,113.7100,74.5467,48514429,0.0000
2011-09-02,106.7000,112.5800,106.0800,112.5100,73.7600,55701971,0.3224
2011-08-26,110.4600,111.2600,106.1500,108.4900,70.9147,65867657,0.0000
2011-08-19,104.9400,112.1400,104.4700,111.2000,72.6861,84933948,0.0000
2011-08-12,103.1800,109.3700,102.9500,105.5700,69.0061,177742206,0.0000
2011-08-05,97.3900,105.5500,97.3500,102.3200,66.8817,132106242,0.3252
2011-07-29,94.9700,98.5300,94.8300,97.9200,63.7952,56437449,0.0000
2011-07-22,96.0600,97.2700,94.9000,96.0500,62.5769,49177017,0.0000
2011-07-15,96.0400,97.9000,95.2400,96.1700,62.6551,50514662,0.0000
2011-07-08,94.0400,95.6100,93.5500,95.3700,62.1339,29221037,0.0000
2011-07-01,96.8500,96.8700,93.1400,93.6300,61.0002,51243119,0.3197
2011-06-24,97.3300,97.7400,96.2700,96.9800,62.9678,36560811,0.0000
2011-06-17,96.7400,97.5300,95.1300,96.9000,62.9159,47775600,0.0000
2011-06-10,95.4700,97.3900,95.1200,97.1400,63.0717,41251700,0.0000
2011-06-03,96.1800,97.7180,95.5700,96.3300,62.5458,46133100,0.3520
2011-05-27,95.7300,96.5500,95.4600,96.4700,62.4117,31212100,0.0000
2011-05-20,95.0300,96.6000,94.4600,95.3200,61.6677,37242800,0.0000
2011-05-13,94.9000,95.4900,93.9100,95.0800,61.5124,31664000,0.0000
2011-05-06,93.3200,95.6300,93.1700,95.0700,61.5059,38229500,0.4001
2011-04-29,92.6300,93.9200,92.5000,93.8900,60.4841,34012700,0.0000
2011-04-21,91.9900,93.2800,91.4500,92.6000,59.6531,27451500,0.0000
2011-04-15,89.8300,92.7100,89.6500,92.6700,59.6982,39212300,0.0000
2011-04-08,92.2000,92.5800,89.8500,89.8800,57.9009,40382400,0.0000
2011-04-01,92.1200,92.7200,91.4200,92.1900,59.3890,33047000,0.3858
2011-03-25,93.1300,93.8800,92.0200,92.1700,59.1286,41730400,0.0000
2011-03-18,91.4800,94.9400,91.3200,93.4600,59.9562,63742600,0.0000
2011-03-11,90.0200,92.1000,89.6500,91.5500,58.7309,46719200,0.0000
2011-03-04,92.3000,92.5200,89.9800,90.8100,58.2562,46181400,0.2969
2011-02-25,89.9100,92.2800,89.7100,92.2800,59.0095,45380900,0.0000
2011-02-18,89.3100,90.3200,89.0800,89.4900,57.2254,36591000,0.0000
2011-02-11,88.7000,89.6600,88.1400,89.4600,57.2062,53907800,0.0000
2011-02-04,91.6600,91.9800,88.7700,88.8100,56.7906,63738600,0.3200
2011-01-28,91.8700,92.9000,90.6700,91.9200,58.5721,57323100,0.0000
2011-01-21,91.2900,92.0700,90.3900,91.5200,58.3172,42839500,0.0000
2011-01-14,92.5800,92.9900,91.4500,91.8350,58.5180,50776600,0.0000
2011-01-07,93.2000,94.3100,91.0300,92.3500,58.8461,63846400,0.0000
2010-12-31,92.7600,94.7000,91.3100,94.1200,59.9740,47919300,0.3204
2010-12-23,93.7500,94.2300,92.4900,92.9300,59.0093,36221300,0.0000
2010-12-17,93.0500,94.0300,90.4700,93.2400,59.2062,96789000,0.0000
2010-12-10,95.5200,96.2500,92.1100,93.1500,59.1490,69366400,0.0000
2010-12-03,97.5600,99.2700,94.8500,94.8900,60.2539,55852300,0.3398
2010-11-26,97.3700,97.9500,95.5800,97.0700,61.4205,36296900,0.0000
2010-11-19,95.3300,96.7600,93.8100,96.5900,61.1168,65579900,0.0000
2010-11-12,98.5900,98.9200,95.0000,95.8100,60.6233,55504900,0.0000
2010-11-05,100.8000,102.2700,97.9800,97.9800,61.9963,63681700,0.3194
2010-10-29,102.1200,102.2900,99.1600,100.4200,63.3373,38115900,0.0000
2010-10-22,101.2000,102.2801,100.4120,101.3800,63.9428,30732300,0.0000
2010-10-15,104.1100,104.7600,99.8950,100.2700,63.2426,39404700,0.0000
2010-10-08,104.6200,106.1000,103.9300,104.2200,65.7340,31300000,0.0000
2010-10-01,104.5299,106.3200,103.9800,104.6100,65.9800,40818400,0.3922
2010-09-24,102.1500,105.4550,101.6899,103.5000,65.0360,42525900,0.0000
2010-09-17,101.8000,103.8200,100.8500,101.6700,63.8861,47271800,0.0000
2010-09-10,105.0900,105.7800,101.8500,102.3200,64.2946,28216000,0.0000
2010-09-03,106.2100,108.6500,102.7000,103.5800,65.0863,43791300,0.3222
2010-08-27,105.6500,109.3400,105.2000,105.3500,65.9979,50025900,0.0000
2010-08-20,104.2100,106.8300,104.0000,106.0400,66.4301,42623400,0.0000
2010-08-13,99.7400,102.4500,99.4700,102.2900,64.0809,36041500,0.0000
2010-08-06,99.2400,100.2100,98.5600,100.1000,62.7090,23699700,0.3244
2010-07-30,99.6300,100.6100,97.9200,100.4800,62.7409,29680300,0.0000
2010-07-23,100.5600,102.2800,99.6900,99.7800,62.3038,29295400,0.0000
2010-07-16,99.3300,101.1300,98.1800,100.8000,62.9407,29830400,0.0000
2010-07-09,100.8300,101.7500,99.1800,99.2200,61.9541,22894800,0.0000
2010-07-02,99.6000,102.6600,99.4172,100.7900,62.9345,39166900,0.3095
2010-06-25,96.4600,99.5900,96.4100,99.0500,61.6601,31870500,0.0000
2010-06-18,96.3200,98.2300,96.0500,97.6900,60.8135,24064200,0.0000
2010-06-11,97.5200,98.5900,96.0900,97.4100,60.6392,28738800,0.0000
2010-06-04,97.2300,97.9500,95.1000,97.7900,60.8758,27171700,0.3259
2010-05-28,98.7400,99.8900,95.8800,96.5000,59.8713,46777300,0.0000
2010-05-21,94.7200,99.7500,94.4700,98.4300,61.0687,66665000,0.0000
2010-05-14,93.1600,95.5000,92.1985,94.8800,58.8662,40146200,0.0000
2010-05-07,91.4200,100.0000,91.2800,95.5800,59.3005,65804500,0.3200
2010-04-30,90.5100,92.1700,89.9400,92.1300,56.9612,37324600,0.0000
2010-04-23,89.8700,91.0882,89.5200,90.1100,55.7123,17276100,0.0000
2010-04-16,89.1700,89.9900,88.6800,89.8600,55.5577,21602500,0.0000
2010-04-09,87.9800,89.1300,87.3000,88.9800,55.0136,21735400,0.0000
2010-04-01,88.7800,89.5200,88.2700,88.9500,54.9951,13676000,0.3317
2010-03-26,91.3500,91.4900,88.3700,88.9500,54.7908,25790700,0.0000
2010-03-19,90.3500,91.5800,90.0500,91.2600,56.2137,15077200,0.0000
2010-03-12,89.9000,90.6500,89.1900,90.4800,55.7332,14360400,0.0000
2010-03-05,91.3300,91.6800,90.1200,90.2700,55.6039,13029800,0.2896
2010-02-26,89.1200,92.0600,88.9200,91.6700,56.2877,21337100,0.0000
2010-02-19,89.7300,90.4400,88.5100,89.4500,54.9246,15433400,0.0000
2010-02-12,91.8700,92.2200,89.3800,90.1900,55.3790,21165300,0.0000
2010-02-05,91.7100,92.4200,90.2700,91.9800,56.4781,24960500,0.3248
2010-01-29,91.5400,92.3600,91.0600,92.3100,56.4795,16872100,0.0000
2010-01-22,90.7200,92.3900,90.4200,92.0000,56.2898,13326500,0.0000
2010-01-15,88.9900,91.3300,88.7700,91.0800,55.7269,19589100,0.0000
2010-01-08,89.8400,90.6300,88.7600,89.2900,54.6317,15474200,0.0000
2009-12-31,89.4600,90.4800,89.0500,89.8900,54.9988,10949400,0.3182
2009-12-24,92.0600,92.2000,89.6700,89.7100,54.6947,10637700,0.0000
2009-12-18,92.3500,93.5000,91.3600,92.7900,56.5725,16894300,0.0000
2009-12-11,93.2700,94.3700,91.3100,92.0900,56.1458,16146800,0.0000
2009-12-04,96.2000,96.7300,92.9100,93.3400,56.9079,19344200,0.3066
2009-11-27,94.5400,96.5600,94.3400,96.4000,58.5849,11152900,0.0000
2009-11-20,94.6500,95.8200,94.5200,95.1200,57.8070,17869800,0.0000
2009-11-13,93.2800,94.1600,92.4500,93.9200,57.0778,11044300,0.0000
2009-11-06,95.5100,95.5800,92.4600,93.3300,56.7192,19517100,0.3083
2009-10-30,94.4400,96.0100,93.5500,95.7800,58.0199,22952400,0.0000
2009-10-23,95.5900,97.2500,94.8700,94.9500,57.5172,14999800,0.0000
2009-10-16,96.0300,96.8500,94.3700,95.4500,57.8200,17700900,0.0000
2009-10-09,99.4700,99.7600,95.5000,95.9000,58.0926,24444800,0.0000
2009-10-02,98.3200,100.3100,98.1100,99.0100,59.9766,20713400,0.3073
2009-09-25,96.1000,98.0600,95.2000,97.9800,59.1703,19343100,0.0000
2009-09-18,96.0200,96.7300,94.6000,95.7600,57.8296,13685000,0.0000
2009-09-11,94.4800,97.6800,93.5200,96.7000,58.3973,14894800,0.0000
2009-09-04,96.3600,97.6600,95.0600,95.2100,57.4975,16895800,0.3075
2009-08-28,93.4900,96.6200,93.4600,96.5100,58.0966,15632200,0.0000
2009-08-21,93.9500,95.8700,93.7500,93.7700,56.4472,19186800,0.0000
2009-08-14,90.5100,94.2000,90.4100,93.3500,56.1943,19889800,0.0000
2009-08-07,93.8100,93.8700,90.2190,90.4900,54.4727,19091500,0.3185
2009-07-31,90.2300,94.8600,89.9400,94.8100,56.8786,18728600,0.0000
2009-07-24,90.8500,93.7000,90.5700,91.4500,54.8628,15902600,0.0000
2009-07-17,96.3200,96.6000,91.2400,91.2400,54.7368,18968500,0.0000
2009-07-10,94.0500,96.8100,93.3900,96.2300,57.7304,21615300,0.0000
2009-07-02,95.0700,95.3700,93.2400,94.3000,56.5726,14103600,0.3033
2009-06-26,92.4400,94.9000,92.0600,94.5900,56.5642,27050000,0.0000
2009-06-19,90.5400,93.3300,90.1100,91.6900,54.8300,28636600,0.0000
2009-06-12,90.4100,90.7300,87.5600,89.9700,53.8015,39571900,0.0000
2009-06-05,92.3400,92.6100,89.5500,89.8400,53.7237,32656000,0.3054
2009-05-29,94.0500,94.2300,90.2300,94.1700,56.1249,25694300,0.0000
2009-05-22,98.0100,98.1100,93.3500,93.5300,55.7434,15939800,0.0000
2009-05-15,96.0500,98.2500,95.7900,98.0400,58.4314,10400900,0.0000
2009-05-08,97.3600,98.0000,94.3300,94.9400,56.5838,13610200,0.0000
2009-05-01,101.0700,101.5800,96.5700,97.1100,57.8771,13930000,0.2967
2009-04-24,102.6300,104.2100,100.1000,100.5700,59.7567,9419900,0.0000
2009-04-17,102.9600,104.3000,101.3700,101.7000,60.4281,7073500,0.0000
2009-04-09,103.5400,103.8600,101.9800,102.3500,60.8143,4827300,0.0000
2009-04-03,105.4400,106.5600,102.6600,102.9200,61.1530,10861200,0.3021
2009-03-27,104.2900,105.1600,101.9301,104.5600,61.9515,14362900,0.0000
2009-03-20,100.8200,108.0700,100.3876,103.9200,61.5723,22051200,0.0000
2009-03-13,104.5100,104.5500,100.9300,102.7300,60.8672,13837500,0.0000
2009-03-06,102.2200,105.9700,101.1600,104.2600,61.7737,17253600,0.2822
2009-02-27,103.6000,106.6800,101.2100,101.8800,60.1991,16672700,0.0000
2009-02-20,104.5500,106.5600,102.2300,103.9200,61.4045,13073900,0.0000
2009-02-13,101.6500,106.5000,101.0600,102.4100,60.5123,13099500,0.0000
2009-02-06,104.0200,105.6800,101.6200,102.2900,60.4414,11799000,0.2853
2009-01-30,107.4000,109.8100,103.4400,103.7500,61.1386,16364200,0.0000
2009-01-23,112.2650,114.6300,106.6900,107.6900,63.4604,12799200,0.0000
2009-01-16,111.5700,116.9200,111.5700,114.3000,67.3556,12547000,0.0000
2009-01-09,115.6000,116.1600,111.0000,112.7300,66.4304,17401600,0.0000
2009-01-02,121.4300,122.0100,116.3500,116.3500,68.5636,10208700,0.4051
2008-12-26,122.3900,122.3900,119.9000,121.3000,71.2416,5139400,0.0000
2008-12-19,112.3500,123.1500,112.0500,122.2600,71.8054,19240800,0.0000
2008-12-12,110.4800,112.5600,109.6900,112.3700,65.9968,11553900,0.0000
2008-12-05,107.7500,113.0000,107.1300,110.4800,64.8868,17654900,0.3550
2008-11-28,102.1500,105.9700,101.0000,105.7200,61.8903,7784000,0.0000
2008-11-21,95.6800,104.4400,95.2900,102.9200,60.2512,12214600,0.0000
2008-11-14,93.8000,96.0700,93.2500,95.1700,55.7142,5938700,0.0000
2008-11-07,92.7200,95.6700,92.3500,94.2600,55.1815,6848900,0.3700
2008-10-31,97.7700,98.2100,92.6500,92.8300,54.1283,8393900,0.0000
2008-10-24,93.4400,99.0500,93.3600,96.7300,56.4023,6757700,0.0000
2008-10-17,95.1100,95.9500,93.0200,93.8700,54.7347,7836600,0.0000
2008-10-10,98.7400,99.9400,95.5100,95.9500,55.9475,12249900,0.0000
2008-10-03,95.1700,97.9300,94.6000,97.4000,56.7930,10760700,0.2900
2008-09-26,92.9300,94.7900,92.6000,94.5000,54.9357,11851200,0.0000
2008-09-19,96.2800,100.8600,93.7000,93.9700,54.6276,28303100,0.0000
2008-09-12,94.9000,96.8800,94.5600,94.9400,55.1915,19454500,0.0000
2008-09-05,92.9800,96.3100,92.8400,95.4800,55.5054,12238600,0.3400
2008-08-29,94.1200,94.4100,93.4400,93.8400,54.3562,8480100,0.0000
2008-08-22,93.0800,93.7100,92.6400,93.0800,53.9160,9963900,0.0000
2008-08-15,91.7800,93.2000,90.5980,93.0400,53.8928,11764900,0.0000
2008-08-08,91.0900,92.0800,89.8200,92.0000,53.2904,11161600,0.0000
2008-08-01,90.9500,92.0500,90.0300,91.5400,53.0239,9996000,0.3325
2008-07-25,90.5900,91.2500,89.7520,90.1400,52.0240,15582900,0.0000
2008-07-18,92.3800,93.4300,90.3000,90.4500,52.2030,21487800,0.0000
2008-07-11,92.0700,93.7600,91.5800,92.1600,53.1899,15476600,0.0000
2008-07-03,92.3100,92.8192,91.5400,92.0700,53.1379,11366900,0.3317
2008-06-27,90.0800,92.4400,89.8100,92.3200,53.0903,16161200,0.0000
2008-06-20,89.1100,90.0700,88.5900,89.8100,51.6469,12340400,0.0000
2008-06-13,90.4500,91.3900,88.6790,88.8700,51.1064,12409400,0.0000
2008-06-06,89.9800,91.4100,89.4500,90.7600,52.1932,14834100,0.3266
2008-05-30,91.3800,91.5600,89.1400,90.2800,51.7301,11053500,0.0000
2008-05-23,92.0800,92.6700,90.8400,91.7700,52.5839,9234200,0.0000
2008-05-16,92.7600,93.1600,90.7200,91.8400,52.6240,10738500,0.0000
2008-05-09,91.8600,92.8700,90.6200,92.5000,53.0021,14116800,0.0000
2008-05-02,91.5300,93.6500,91.4100,91.6100,52.4922,11937800,0.3364
2008-04-25,92.4100,93.6700,91.5000,91.8200,52.4224,10782200,0.0000
2008-04-18,95.3400,95.7000,91.8200,92.7700,52.9648,14927700,0.0000
2008-04-11,94.6200,95.9200,93.9000,95.6700,54.6205,10254800,0.0000
2008-04-04,96.1100,96.3200,93.7800,95.2000,54.3522,14746600,0.4061
2008-03-28,96.4800,96.4800,94.5400,95.5500,54.3171,13437600,0.0000
2008-03-20,95.5900,97.7500,94.9500,97.1810,55.2443,16463900,0.0000
2008-03-14,92.7100,95.8100,92.2100,95.0000,54.0045,23579400,0.0000
2008-03-07,93.6000,94.2000,91.5000,92.2300,52.4298,14253100,0.3479
2008-02-29,91.9300,94.4600,90.6100,94.2300,53.3685,15807100,0.0000
2008-02-22,91.1300,92.8500,90.5600,92.0200,52.1168,11618600,0.0000
2008-02-15,94.2000,94.7000,90.6600,91.8800,52.0375,20748200,0.0000
2008-02-08,94.3500,95.6100,92.0500,93.7000,53.0683,13916500,0.0000
2008-02-01,95.6500,96.0000,93.5900,95.2300,53.9348,23806400,0.3288
2008-01-25,96.3100,98.1600,94.1300,95.9500,54.1556,23107900,0.0000
2008-01-18,94.1900,96.2899,94.0000,95.4900,53.8960,11463800,0.0000
2008-01-11,94.0800,95.3000,93.3100,94.2000,53.1679,9678500,0.0000
2008-01-04,92.7500,94.7900,92.6000,94.2700,53.2074,8284100,0.0000
